ID;beni;kanna;kei;keta;kibana;kinoko;kizu;mikan;minku;mizu;muku;mushi;neji;okapi;okura;omoto;serori;shide;shika;shiso;toga;tsuwa;uso;usu;yamu;yashi;yone;yuna;betei;binega;bon;botan;hado;haku;hiba;hirame;komatsu;kote;mekki;mochi;noko;pan;pichi;shida;shiira;tabu;takana;tsutsuji;yomogi;yotsuba;yumin;yuu
mochi;0.002155172;0;0;0;0;0;0;0.002242152;0;0.032258065;0;0;0;0.056563501;0.204255319;0;0;0;0.041666667;0;0;0;0;0;0;0;0;0;0.004106776;0;0;0;0;0;0;0.002053388;0;0;0.001070664;0;0.002076843;0;0;0.002190581;0.03968254;0;0.001061571;0;0;0;0;0
noko;0;0;0;0;0;0;0;0;0;0;0;0.001136364;0;0;0;0.071350165;0;0.002076843;0;0;0;0;0;0.029411765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001113586;0;0.002057613;0;0.001040583;0;0;0.007444169;0
pan;0;0;0;0;0;0;0;0.170990566;0;0;0;0;0;0.003359462;0;0;0;0;0.001091703;0;0;0;0.002057613;0;0;0;0;0;0.001075269;0;0;0.00456621;0;0;0;0.003225806;0;0;0;0.005353319;0.006528836;0;0;0;0;0;0.018930958;0;0;0.001071811;0;0
pichi;0.004509583;0;0;0;0;0;0;0;0;0.001124859;0.05624297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001077586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023784902;0;0.002219756;0;0;0;0;0
shida;0;0;0;0;0;0;0;0;0;0;0;0.007228916;0;0;0;0;0;0.00109529;0;0;0;0.001104972;0;0;0;0.251435132;0;0;0;0;0;0;0;0;0;0;0.008394544;0;0.001150748;0;0;0.002301496;0;0;0.059384942;0.001084599;0;0.007683864;0;0;0;0
shiira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006944444;0;0;0;0.004;0;0;0;0.194616977;0.002074689;0;0;0;0;0;0;0.001038422;0;0;0;0.028368794;0.001037344;0;0;0;0;0.097560976;0;0.013765978;0.005144033;0.003976143;0;0;0;0
tabu;0.001067236;0;0;0;0.008333333;0.008080808;0;0;0;0;0.004259851;0;0;0;0;0;0;0.15704154;0.020639835;0.003174603;0;0;0;0;0;0.031746032;0.002120891;0;0.001017294;0;0;0;0.001074114;0;0.001064963;0;0.00292113;0;0;0;0;0;0;0.00867679;0.01179941;0;0.110410095;0.003045685;0;0;0;0
takana;0.004484305;0;0.008938547;0;0.001092896;0;0;0;0;0;0;0;0;0;0;0;0;0.205944798;0.002164502;0;0.001113586;0;0;0;0.001062699;0.051111111;0;0;0.004264392;0;0;0.001131222;0;0;0;0.019189765;0.060081466;0.001085776;0;0;0;0;0;0.011402509;0.001028807;0.038906414;0;0;0;0;0;0
tsutsuji;0;0;0;0;0;0;0;0;0;0;0;0.003359462;0;0.003208556;0;0;0;0;0.003131524;0.138115632;0;0.085743802;0;0;0;0.059957173;0;0;0;0;0;0;0;0;0;0;0.010826772;0.003141361;0;0;0.001040583;0;0;0.015367728;0.010934394;0.002030457;0.00106383;0;0;0;0;0
yomogi;0;0;0;0;0.009155646;0.104639684;0;0;0;0;0;0;0;0;0;0;0.001012146;0;0;0;0;0;0;0;0;0;0.00310559;0.020554985;0;0.063936064;0;0;0.004192872;0.003108808;0;0;0;0.043478261;0;0;0.008040201;0;0;0;0.002884615;0;0;0;0;0.048562934;0;0
yotsuba;0.014023732;0;0;0;0;0.220408163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024651661;0;0;0.010022272;0;0;0.00750268;0;0;0.076446281;0;0.009793254;0;0;0.003229279;0;0;0;0;0;0;0;0;0;0;0.001014199;0.001062699;0.002051282;0.083250743;0;0;0
yumin;0;0.145299145;0;0;0;0.002427184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004926108;0;0;0;0;0;0;0;0.0075;0;0;0.012406948;0;0;0.001322751;0.001175088;0;0;0;0;0;0;0
yuu;0;0.132664437;0;0;0;0;0;0;0;0;0;0;0.073170732;0;0;0;0;0;0.026106697;0;0;0;0;0;0;0;0;0.069605568;0;0;0;0;0;0;0;0;0;0.038724374;0;0;0.003393665;0;0;0;0;0;0;0;0;0;0.014824798;0
